,loop_step,standard_dev,number_town_people,guac_20,guac_19,guac_18,guac_17,guac_16,guac_15,guac_14,guac_13,guac_12,guac_11,guac_10,guac_9,guac_8,guac_7,guac_6,guac_5,guac_4,guac_3,guac_2,guac_1
144,144,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,not_all_assigned
145,145,1,50,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,not_all_assigned
146,146,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,not_all_assigned
147,147,1,50,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,false,false,false,not_all_assigned
148,148,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,true
149,149,1,50,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false
150,150,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,not_all_assigned
151,151,1,50,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,not_all_assigned
152,152,1,50,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,not_all_assigned
153,153,1,50,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,not_all_assigned
154,154,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,not_all_assigned
155,155,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,not_all_assigned
156,156,1,50,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,false,not_all_assigned
157,157,1,50,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true,false,false,false,true,not_all_assigned
158,158,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,not_all_assigned
159,159,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,not_all_assigned
160,160,1,50,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,false,true,false
161,161,1,50,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,false,true,false,not_all_assigned
162,162,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,false,not_all_assigned
163,163,1,50,true,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,false,false,not_all_assigned
164,164,1,50,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,not_all_assigned
165,165,1,50,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,not_all_assigned
166,166,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,not_all_assigned
167,167,1,50,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,not_all_assigned
168,168,1,50,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true
169,169,1,50,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,false,not_all_assigned
170,170,1,50,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,not_all_assigned
171,171,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,not_all_assigned
172,172,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,not_all_assigned
173,173,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,not_all_assigned,not_all_assigned
174,174,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,not_all_assigned
175,175,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,not_all_assigned
176,176,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,false,true
177,177,1,50,true,true,true,true,true,false,true,true,true,false,false,true,true,false,true,true,true,true,true,not_all_assigned
178,178,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
179,179,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,not_all_assigned
180,180,1,50,true,true,true,true,true,true,true,true,false,true,true,true,false,false,true,true,true,not_all_assigned,false,not_all_assigned
181,181,1,50,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,not_all_assigned
182,182,1,50,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,false,not_all_assigned
183,183,1,50,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,not_all_assigned
184,184,1,50,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,false,not_all_assigned,not_all_assigned
185,185,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,not_all_assigned
186,186,1,50,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,false,true,false,true,not_all_assigned
187,187,1,50,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,not_all_assigned
188,188,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,not_all_assigned
189,189,1,50,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,not_all_assigned
190,190,1,50,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,not_all_assigned
191,191,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,not_all_assigned
192,192,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,not_all_assigned
193,193,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,false,false,not_all_assigned
194,194,1,50,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,false,true,false
195,195,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,not_all_assigned
196,196,1,50,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,not_all_assigned
197,197,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,not_all_assigned,false
198,198,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,true,not_all_assigned
199,199,1,50,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,false,false,not_all_assigned
200,0,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,not_all_assigned
201,1,1,100,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true
202,2,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true
203,3,1,100,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,false
204,4,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,not_all_assigned
205,5,1,100,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true
206,6,1,100,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,false
207,7,1,100,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true
208,8,1,100,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,false,true
209,9,1,100,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true
210,10,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
211,11,1,100,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,false,true
212,12,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,not_all_assigned
213,13,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true
214,14,1,100,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true
215,15,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
216,16,1,100,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true
217,17,1,100,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true
218,18,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
219,19,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
220,20,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
221,21,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
